,id,question,answer
0,1afa02df02c908a558b4036e80242fac,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?",A
1,a7ab086045575bb497933726e4e6ad28,What do people aim to do at work?,A
2,b8c0a4703079cf661d7261a60a1bcbff,Where would you find magazines along side many other printed works?,B
3,e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,A
4,2435de612dd69f2012b9e40d6af4ce38,James was looking for a good place to buy farmland.  Where might he look?,A
5,a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,C
6,118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,B
7,05ea49b82e8ec519e82d6633936ab8bf,What do animals do when an enemy is approaching?,D
8,c0c07ce781653b2a2c01871ba2bcba93,Reading newspaper one of many ways to practice your what?,A
9,1d24f406b6828492040b405d3f35119c,What do people typically do while playing guitar?,C
10,57f92025d860e32c4e780c0d51c1c20c,What would vinyl be an odd thing to replace?,B
11,81eb4b2ee66edd8bc91ee944697c4e9f,"If you want harmony, what is something you should try to do with the world?",D
12,d807e7ae60976324920c8d29eb42dad6,Where does a heifer's master live?,A
13,7ea9f721ffc662918bb0c0937a487f04,Aside from water and nourishment what does your dog need?,E
14,fc1d33a2301a30214523c12573f81aba,Janet was watching the film because she liked what?,C
15,3b8e1d236f5169b6c833a994d6d9c39a,What are you waiting alongside with when you're in a reception area?,D
16,c5c4166f2ed3c2b3517b79e6848e9ae2,When drinking booze what can you do to stay busy?,B
17,6dc5b2884737e66543ce65f8dc40c992,A fencing thrust with a sharp sword towards a person would result in what?,E
18,8af63d58cc35061dec38e5448c325988,"Unlike a spider and his many sight seers, people only have what?",E
19,768fb09deab56046e1565b6a2556ad5c,Where do adults use glue sticks?,D
20,cd639cf3ff82f825ace7dd2b087562bd,What could go on top of wood?,C
21,8d79cc5e4eea11f50fab18fdea20fd4f,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?",C
22,e5ad2184e37ae88b2bf46bf6bc0ed2f4,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?",B
23,b8b287b6277fccd4b7c9c72577177328,Where could you find a toilet that only friends can use?,D
24,f646f3e064f06423fc25b98500796cf0,"What is someone who isn't clever, bright, or competent called?",E
25,b0f7d7978ac41c465108a92660d70e84,When wildlife reproduce we often refer to what comes out as what?,D
26,54075de8b8b89ecef2e4eb4eaee2713d,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?",B
27,65435b996ce9d1685bebb74b49c1ba7f,Blue read material outside of his comfort zone because he wanted to gain what?,A
28,9889e5389917d812c09d6e5d382d333d,After he got hired he hoped for success at his what?,B
29,a651ffa44ac5febf0aede6748899b981,Committing perjury is a serious what?,B
30,bdcfbe2132295d437e4c5701085f19c0,If you are prone to postpone work what will you have to do in order to finish on time?,B
31,8d3dc21a53523850ec80771daaa5ff20,James wanted to find an old underground map from the 50s.  Where might he look for one?,C
32,a80ee7775e934c423012fe98e20ba28b,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?",E
33,48a315cfa3ce11f7a9d615bc854331d5,Where would a person be doing when having to wait their turn?,D
34,4acd496cc78d96c2431279a5fd87de7c,"She was always helping at the senior center, it brought her what?",A
35,91e0f4ab62c9d2fd440d73a3f5308d96,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?",C
36,b61e849e44db16a581f0b65e28ab95dc,Who is a police officer likely to work for?,C
37,ba6bd1bdef02d0ebfe5370f92365ae18,"If you have leftover cake, where would you put it?",B
38,dc55d473c22b04877b11d584f9548194,"A human wants to submerge himself in water, what should he use?",A
39,113aaea2b1a27a976547f54e531d99bb,Where is a doormat likely to be in front of?,B
40,ba640b9634ad6b4ad98b17b4f152e562,Bob the lizard lives in a warm place with lots of water.  Where does he probably live?,B
41,750ebdf36a0b3b407be0fe2163e3700b,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?,B
42,8f01273422a370a8dbda6bf473a395a0,"He needed more information to fix it, so he consulted the what?",E
43,e6586bba9fe96d38792e6e6d4f2703dc,Where can you put a picture frame when it's not hung vertically?,E
44,6e433471d0e2590b8c73ceef275022b1,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,D
45,1bc986f8aea88d6927d8a45367855a94,What is the result of applying for  job?,E
46,8d1563697d751a364d688d6701ebdb39,What must someone do before they shop?,B
47,91f512273a2da7ae796919069b20d6cf,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?",E
48,49cda7eedbf63b3f38e59ba72f1ee1f9,What is a place that usually does not have an elevator and that sometimes has a telephone book?,C
49,a588407ecaecf0f30c2241c30b470fe2,Who is likely to be excited about a crab?,C
50,011096bcfff30fd38046cf9db3a411c5,Where can a human find clothes that aren't pants?,C
51,435a728f45d32faa4b3c4553c966fd6b,"If I was getting drunk, and people couldn't understand me, what might I be having?",B
52,e953dee48c70159ad879143a319ec607,"When a person is beginning work, what are they building?",D
53,9c784727afd7176b54764055df7a7927,"A child wants to play, what would they likely want?",C
54,b47d912136e3304cb5e5890b6b879551,Talking to the same person about the same thing over and over again is something someone can what?,D
55,49b4c9e1bd7946a819e173ce8fa4c7c9,The teacher doesn't tolerate noise during a test in their what?,E
56,950af0b765c298960ce3dada66df8db1,"The freeway had no traffic and few buildings, where is it?",B
57,63cf1adb5fe302b9867ead8bc8103d0b,Where would you go if you wanted to have fun with a few people?,D
58,ede4d302fc2ffe07703158f83c1493f2,"If there is a place that is hot and arid, what could it be?",C
59,74ad13a03634e79c85382f1b90969b74,What is likely to satisfy someone's curiosity?,B
60,49e466b1782aa4837dae53ff891fcdee,If you are in a bar in a glove shaped state where are you?,B
61,a8a8ae7792901c7179ff5538c701af1f,Where would a computer user be using their own computer?,E
62,2ffa3808ce26181926990b454e429c85,Crabs live in what sort of environment?,C
63,4319eaa36d256a92b72445c0392f9c94,Where can you find a snake in tall grass?,D
64,ec79ef747bb89281923edb89ba26786d,What is a place that has a bench nestled in trees?,A
65,2d33cde5e3987adc8fa2bca0af4dd3dd,Where is a human likely to go as a result of being hungry?,A
66,cc46d936bf69d69a3863b0cb85d75c17,He was beginning to regret taking the fight when he saw how what his opponent was?,D
67,46bc1a50eeead10509a43a048e01194e,Where would you find a single shower curtain being used?,D
68,4336a8c55b7cb17275d1c60206cd2f18,Where is a good idea but not required to have a fire extinguisher?,C
69,a287575d3ba4b9f958536fc14a1f5b5a,What continent has the most castles?,D
70,f481dc35b0a97a20dc5cdfe1a59746e2,If you have to read a book that is very dry and long you may become what?,E
71,c1c7a9efa379b8a7024a71cf364a144c,Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?,E
72,821b32d39f57396979069b948030afe9,The kids didn't clean up after they had done what?,D
73,c68b4082a6872cf8198502651d0f3352,"Despite the name a pawn can be quite versatile, all the parts are important in a what?",A
74,dd11fea36d89aa09f9a6069545ba4c9c,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,A
75,7792b2c6518ecf9775efba6d41253312,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?",B
76,1feb4c2a0e8ed638259f5d27b16eae9a,Where does a wild bird usually live?,C
77,2de08c7a518b7c226e19bdc8fc10ef1d,Where would you expect to find white mice?,E
78,ea8664e77205224154f8519f922220e1,John felt that his actions were fate.   Harry said that he could have always made a different what?,B
79,a64d45cecde84fdcf5f0a79805a0c6fe,What could committing murder prevent someone from doing?,A
80,60e92cd2f35c345872d1a898e1718d55,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?",B
81,08f3c187908646997b9080c7e9ea7da4,A crane uses many a steel cable when working a what?,D
82,9aff72f0c480c2b4edde45bd2e7e4870,What is the main purpose of farmers?,E
83,fd243c96edec5b1b8520d5bfeddc6622,Where can I put this penny to save for later?,A
84,f5ec4fdfd0e37e733bfc1606b986f1e2,Where would you put uncooked crab meat?,E
85,e3c6d147f8a727d314046e70e9579ba0,"The man had a fear of illness, so he never visited friends who were a what?",A
86,8ce13c6e08bf38d4cd4af756b661e47c,Where would you put pans if you want to bring them with you?,D
87,0f4159e80f8dbf682819215bbf0f5b5a_1,"If you're remembering something, it's because of your what of it to begin with?",B
88,1a8b3c2a46efabcbd506f9cf70886ed0,Which large land mass is home to the most monkeys?,A
89,db0cfd52ca6b2bbfcf26d1a898fd929b,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,C
90,400fb2e196e71abb70e5b3f9aab4b9ee,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?",C
91,3fb36127a61903029a363911a1d2b1e9_1,You'll find a landing at the top of what?,D
92,8494b0b95533dcedbd76ae2916c481d4,"Anybody could be hired in the kitchen, what was needed of them?",D
93,1531f1523f5fd24bbdb42c311dbf90e8,Where can you find a number of wind instruments together in public?,E
94,716ce4404a84b42dd64e561390c4b53b,A mountie got off at a subway stop.  What city might he be in?,E
95,5169f7ae0781b15161551de3a189ebef,What do you want someone to do when you illustrate point?,C
96,ef22ef7aeec70aaa688720f805c1cf38,Billy set aside a block of time for having fun after work. Why might he do this?,B
97,514310637fb43a252bfadc8cbf79b277,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?",D
98,9370b2b0897b796dec4a40f107854c8d,What would you be unable to do if you have too much greed?,B
99,49902e768c45aa41a0f9f95be81114e5,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?",E
