,id,context,question,answer
0,0,Tracy didn't go home that evening and resisted Riley's attacks.,What does Tracy need to do before this?,C
1,1,Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards.,How would you describe Sydney?,B
2,2,Sasha protected the patients' rights by making new laws regarding cancer drug trials.,What will patients want to do next?,C
3,3,Jordan was in charge of taking the food on the camping trip and left all the food at home.,How would Jordan feel afterwards?,A
4,4,Kendall opened their mouth to speak and what came out shocked everyone.,How would you describe Kendall?,C
5,5,Aubrey never told Riley the answer and Riley was angry.,How would you describe Aubrey?,A
6,6,Kendall's dog was overweight so they walked it five miles.,Why did Kendall do this?,A
7,7,Kendall got a new sports car and could not wait to show friends.,What will Kendall want to do next?,B
8,8,Riley layered down their arms with a blanket to keep warm.,What does Riley need to do before this?,C
9,9,Austin knew Quinn intimately and they slept together many times.,Why did Austin do this?,B
10,10,Carson kissed Alex gently on the cheek and asked to go to dinner.,What will happen to Carson?,B
11,11,Alex walked Robin towards the execution chamber for her last meal.,Why did Alex do this?,B
12,12,Carson was excited to wake up to attend school.,Why did Carson do this?,A
13,13,Taylor proved Carson's point about who was the stronger wrestler of them all.,What will Taylor want to do next?,A
14,14,Sydney went trick or treating and the others joined him happily.,What will Others want to do next?,C
15,15,Sasha set their trash on fire to get rid of it quickly.,How would you describe Sasha?,C
16,16,Robin dried up the paper and lit it on fire and it blew away.,How would Robin feel afterwards?,B
17,17,Skylar went camping with friends and found the best campsite.,What does Skylar need to do before this?,B
18,18,"Due to his car breaking down, Robin decided to ride with Jan's friends to school.",What will Robin want to do next?,C
19,19,Cameron took Kai's compliment seriously after the ballgame ended.,How would you describe Cameron?,A
20,20,Jordan taught art in elementary schools and was really great with his students.,How would the parents feel as a result?,C
21,21,Riley and the others were the best of friends and always supported each other.,What will happen to Others?,B
22,22,Taylor gave help to a friend who was having trouble keeping up with their bills.,What will their friend want to do next?,B
23,23,Riley had twisted their leg and began to hurt so bad that they could not walk.,What does Riley need to do before this?,B
24,24,Carson was at a friend's house but suddenly announced they needed to go home.,Why did Carson do this?,C
25,25,Taylor taught math in the schools after studying to be a teacher for four years.,What does Taylor need to do before this?,A
26,26,Tracy led their army and fought hard in the war until they sat upon the throne.,How would you describe Tracy?,C
27,27,Kendall watched baseball with his friends after working hard all week at his job.,What will Kendall want to do next?,B
28,28,kai was bored and had nothing to do so he played card games.,What will Kai want to do next?,C
29,29,"Robin changed Aubrey into clean clothes, so they can both go to the big play.",What will Robin want to do next?,B
30,30,Kendall wrapped string around my neck to measure the collar of a shirt.,What will Others want to do next?,C
31,31,Aubrey gave it to Kai's friend. Kai had thought for sure and hoped that she would get it instead.,How would Kai feel as a result?,B
32,32,jan took them to NYC so that they could experience the city for the first time.,What will Others want to do next?,C
33,33,Tracy threw a fit on the couch while watching the history channel because they got a lot of details wrong.,Why did Tracy do this?,B
34,34,carson hated lee and his family so he took the risk to injure lee.,How would you describe Carson?,B
35,35,Robin stayed outside and tried to finish the game of volleyball she was playing.,How would Robin feel afterwards?,C
36,36,Carson returned to Robin's house after previously storming out during a huge fight.,How would Carson feel afterwards?,B
37,37,Robin didn't know why she was having bad luck but found the answer.,How would Robin feel afterwards?,B
38,38,Jordan's son was growing out of their shoes. Jordan took their son to the shoe store.,How would Jordan's son feel as a result?,C
39,39,ash was cut short even though everyone wanted to hear what ash had to say.,What will happen to Others?,C
40,40,Jordan was talking to a group of friends. Jordan talked behind Ash's back to fit in.,What will happen to Jordan?,C
41,41,jordan wanted to be nice to a girl so he took her to the shoe store.,What does Jordan need to do before this?,C
42,42,Aubrey understood Remy better and met his needs more efficiently as his nurse.,How would Remy feel as a result?,B
43,43,Aubrey kept the baby up at night to watch for a concussion.,What will happen to Aubrey?,B
44,44,Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie.,How would Riley feel as a result of this?,C
45,45,Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding.,What does Quinn need to do before this?,A
46,46,Bailey passed Jesse on his driving examination after he passed with flying colors.,What does Bailey need to do before this?,A
47,47,Austin was taking a test and found it difficult at first.,How would you describe Austin?,C
48,48,"Quinn was playing and froliking in the snow, making snow angels and snowballs.",How would you describe Quinn?,C
49,49,Tracy gave money to my friend who needed it but failed to by it back as they promised.,What will happen to Tracy?,B
50,50,Camerson was grading Bailey's research paper. Cameron felt satisfied with Bailey's work.,How would you describe Cameron?,B
51,51,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head.",What will Skylar want to do next?,B
52,52,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account.",How would you describe Remy?,B
53,53,Skylar was on the phone while at the national park. They lent little attention to the view.,What will Skylar want to do next?,A
54,54,"Sydney works as a preschool teacher, and helped trace Robin's fingers.",Why did Sydney do this?,C
55,55,Jan was pregnant and she gave birth to a beautiful baby daughter.,How would you describe Jan?,A
56,56,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out.,What will Kendall want to do next?,A
57,57,"Knowing skylar would want to go too, Kendall took Skylar into account.",Why did Kendall do this?,C
58,58,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone.,What will Casey want to do next?,C
59,59,Riley granted Jan the highest title of the kingdom and celebrated with a feast.,What will Jan want to do next?,A
60,60,"After being kicked out of the house by his parents, Jordan needed a place to live.",How would you describe Jordan?,B
61,61,Remy gave birth to a baby girl on a Saturday afternoon.,What does Remy need to do before this?,C
62,62,Alex was no longer raising Sasha but she did give birth to Sasha.,What will Alex want to do next?,A
63,63,Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage.,How would Robin feel afterwards?,C
64,64,Cameron went out of her way to buy food for the homeless.,How would Cameron feel afterwards?,C
65,65,Sydney played Kendall's heart when she pretended to be interested in him at the party.,What will happen to Kendall?,A
66,66,Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously.,What will happen to Cameron?,B
67,67,Jan took me to NYC to celebrate my birthday before the baby was born.,What will Others want to do after?,B
68,68,It was a pretty sunny day outside. Quinn walked instead.,What does Quinn need to do before this?,C
69,69,Kai was grounded after wrecking his mother's car so he handed back the keys.,What will Kai want to do next?,A
70,70,Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap.,Why did Jordan do this?,C
71,71,Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation.,How would Skylar feel as a result?,A
72,72,But she didn't want to be on the team so walked off the court.,Why did Aubrey do this?,A
73,73,Carson was at a friend's house across town from where he lived playing video games.,How would Carson feel afterwards?,C
74,74,Kendall took their dog to the new dog park in the neighborhood.,What will Kendall want to do next?,C
75,75,"Robin's brother was hungry, too, so Robin cut the sandwich in half.",How would Robin feel afterwards?,A
76,76,Addison regarded every girl as somebody who should be treated by their actions.,How would Others feel as a result?,B
77,77,Remy challenged them to a game and then beat them so much.,How would they feel as a result?,A
78,78,Casey gave some money to Jesse so she could go to the movie.,How would you describe Casey?,C
79,79,Lee gave birth to ten babies over a span of ten years.,How would you describe Lee?,C
80,80,Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside.,How would Others feel as a result?,B
81,81,Remy understood every mystery because she was a famous mystery writer.,What will Others want to do after?,A
82,82,"Kendall persisted after being told no, and eventually had a positive effect on Lee.",What will Lee want to do next?,A
